COUNTRY,COUNTRY_CODE,YEAR,Partyfacs_ID,ABBREVIATION,PARTY_NAME_ENGLISH,PARTY_NAME,FOUNDED,PERSON,WIKIPEDIA,WEBSITE_NATIONAL,WEBSITE_NATIONAL_SUBPAGE_EU,WEBSITE_EU,WEBSITE_EUGROUP_SUBPAGE,EU_GROUP,TWITTER_NATIONAL,FB_NATIONAL,INSTA_NATIONAL,TIKTOK_NATIONAL,TIKTOK_NAT_DISPLAY_NAME,YT_NATIONAL,TWITTER_EU,FB_EU,INSTA_EU,TIKTOK_EU,TIKTOK_EU_DISPLAY_NAME,YT_EU,YT_EU_BIO_HANDLE,YT_EU_ID
France,10,2024,NA,LE,The Ecologists,Les Écologistes,2010,NA,https://en.wikipedia.org/wiki/The_Ecologists,https://lesecologistes.fr/,NA,NA,NA,NA,@EELV,eelv.fr,eelvfr,@lesecologistes,lesecologistes,@LesEcologistesFR,NA,NA,NA,NA,NA,NA,NA,NA
France,10,2024,NA,LO,Workers' Struggle,Lutte Ouvrière,1956,NA,https://en.wikipedia.org/wiki/Lutte_Ouvri%C3%A8re,https://www.lutte-ouvriere.org/,https://www.lutte-ouvriere.org/portail/europeennes-2024.html,NA,NA,NA,@LutteOuvriere,LutteOuvriere1,lutteouvriere,@lutteouvriereofficiel,Lutte Ouvrière,@lutteouvriere,NA,NA,NA,NA,NA,NA,NA,NA
France,10,2024,8168,LR,The Republicans,Les Républicains,2015,NA,https://en.wikipedia.org/wiki/The_Republicans_(France),https://republicains.fr/,https://francaisesfrancais.org/categorie/europe/,NA,NA,EPP,@lesRepublicains,les.Republicains.FR,lesrepublicains,NA,NA,@lesRepublicains,NA,NA,NA,NA,NA,NA,NA,NA
France,10,2024,1251,PCF,French Communist Party,Parti communiste francais,1920,NA,https://en.wikipedia.org/wiki/French_Communist_Party,https://www.pcf.fr/,https://www.pcf.fr/aloffensivepourchangerleurope,https://www.deffontaines2024.fr/,NA,NA,@PCF,Particommuniste,pcfparticommunistefrancais,@particommuniste,Parti Communiste Français,@CNPCF,NA,NA,NA,NA,NA,NA,NA,NA
France,10,2024,NA,PES,Socialist Party-Place Republique,"List Parti socialiste, Place publique",2018,NA,https://en.wikipedia.org/wiki/Place_Publique,https://place-publique.eu/,https://place-publique.eu/elections-europeennes-2024-reveiller-leurope-avec-raphael-glucksmann/,NA,NA,S&D,@placepublique_,mouvementplacepublique,mouvementplacepublique,NA,NA,@mouvementplacepublique,NA,NA,NA,NA,NA,NA,NA,NA
France,10,2024,1478,PS,Socialist Party,Parti Socialiste,1969,NA,https://en.wikipedia.org/wiki/Socialist_Party_(France),https://www.parti-socialiste.fr/,https://www.parti-socialiste.fr/l_europe_d_abord,NA,https://www.socialistsanddemocrats.eu/who-we-are/our-political-family/our-national-parties,S&D,@partisocialiste,partisocialiste,partisocialiste,NA,NA,@partisocialiste,NA,NA,NA,NA,NA,NA,NA,NA
France,10,2024,433,RN,National Rally,Rassemblement national,1972,NA,https://en.wikipedia.org/wiki/National_Rally,https://rassemblementnational.fr,https://rassemblementnational.fr/programmeidpa,NA,https://www.idgroup.eu/rassemblement_national,ID,@RNational_off,RassemblementNational,rassemblementnational_fr,@rnational_off,Rassemblement National,@RassemblementNationalOfficiel,NA,NA,NA,NA,NA,NA,NA,NA
France,10,NA,NA,UDI,Union of Democrats and Independents,Union des démocrates et indépendants,2012,NA,https://en.wikipedia.org/wiki/Union_of_Democrats_and_Independents,https://www.parti-udi.fr/,https://www.parti-udi.fr/europe/,NA,NA,NA,@UDI_off,udi,udi_off,NA,NA,@UDI_off,NA,NA,NA,NA,NA,NA,NA,NA
France,10,NA,1595,UMP,The Centrists,Les Centristes,2016,NA,https://en.wikipedia.org/wiki/The_Centrists,https://www.les-centristes.fr/,NA,NA,NA,EPP,@LesCentristes_,LesCentristesFR,NA,NA,NA,@LesCentristes,NA,NA,NA,NA,NA,NA,NA,NA
France,10,NA,NA,UPR,Popular Republican Union,Union Populaire Républicaine,2007,NA,https://en.wikipedia.org/wiki/Popular_Republican_Union_(2007),https://www.upr.fr/,NA,NA,NA,NA,NA,upr.francoisasselineau,uprtv_off,@uprtvfa,UPR TV,@uprtvfa,NA,NA,NA,NA,NA,NA,NA,NA
France,10,NA,NA,VIA,"VIA, the Way of the People",VIA | la voie du peuple,2001,NA,"https://en.wikipedia.org/wiki/VIA,_the_Way_of_the_People",https://via-lavoiedupeuple.fr/,NA,NA,NA,NA,@via_officiel,vialavoiedupeuple,NA,NA,NA,@via-lavoiedupeuple4263,NA,NA,NA,NA,NA,NA,NA,NA
France,10,2018,NA,VOLT,VOLT France,VOLT France,2018,NA,https://en.wikipedia.org/wiki/Volt_France,https://voltfrance.org/,https://voltfrance.org/elections-europeennes-2024,https://volteuropa.org/european-election-2024,NA,NA,@volt_france,VoltFR,volt_france,NA,NA,@voltfrance8520,NA,NA,NA,NA,NA,NA,NA,NA
France,10,2024,NA,NA,Ecology at the centre,Écologie au centre,2011,NA,https://en.wikipedia.org/wiki/Independent_Ecological_Alliance,https://www.ecologieaucentre.eu/,NA,NA,NA,NA,@Ecologie_Centre,CentreEcologie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,10,NA,NA,NA,Republican and Socialist Left,Gauche républicaine et socialiste,2018,NA,https://en.wikipedia.org/wiki/Republican_and_Socialist_Left,https://g-r-s.fr/,NA,NA,NA,NA,@Gauche_RS,GaucheRepublicaineSocialiste,NA,NA,NA,@GaucheRepublicaineSocialiste,NA,NA,NA,NA,NA,NA,NA,NA
France,10,2024,NA,NA,Horizons,Horizons,2021,NA,https://en.wikipedia.org/wiki/Horizons_(political_party),https://horizonsleparti.fr/,NA,NA,https://www.reneweuropegroup.eu/parties/horizons-2,Renew,@HorizonsLeParti,HorizonsLeParti,horizonsleparti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,10,2024,NA,NA,Democratic Movement,Mouvement démocrate,2007,NA,https://en.wikipedia.org/wiki/Democratic_Movement_(France),https://www.mouvementdemocrate.fr/,https://www.mouvementdemocrate.fr/programme/europe-2315,NA,https://www.reneweuropegroup.eu/parties/mouvement-d%C3%A9mocrate,Renew,@MoDem,mouvementdemocrate,mouvementdemocrate,NA,NA,@Mouvement.Democrate,NA,NA,NA,NA,NA,NA,NA,NA
France,10,2024,NA,NA,Public Square,Place publique,2018,NA,https://en.wikipedia.org/wiki/Place_Publique,https://place-publique.eu/,https://place-publique.eu/nos-elus-europeens/,https://consultation.place-publique.eu/,NA,S&D,@placepublique_,mouvementplacepublique,mouvementplacepublique,NA,NA,@mouvementplacepublique,NA,NA,NA,NA,NA,NA,NA,NA
France,10,NA,NA,NA,Radical Party,Parti radical,1901,NA,https://en.wikipedia.org/wiki/Radical_Party_(France),https://parti-radical.fr/,NA,NA,https://www.reneweuropegroup.eu/parties/parti-radical,Renew,@PartiRadical,PartiRadical,mouvementradical,NA,NA,@LesRadicaux,NA,NA,NA,NA,NA,NA,NA,NA
France,10,NA,NA,NA,Let's Do Corsica,Femu a Corsica,2017,NA,https://en.wikipedia.org/wiki/Femu_a_Corsica,https://www.femuacorsica.corsica/fr/,NA,NA,NA,Greens-EFA,@Partitu_FemuAC,PartituPuliticuFemuACorsica,NA,NA,NA,@tvpartitufemuacorsica8222,NA,NA,NA,NA,NA,NA,NA,NA
France,10,2024,NA,NA,Reconquest,Reconquête,2021,NA,https://en.wikipedia.org/wiki/Reconqu%C3%AAte,https://www.parti-reconquete.fr/,NA,NA,https://ecrgroup.eu/ecr/party/reconquete,ECR,@Reconquete_off,reconquete2022,reconquete_officiel,@reconquete2022,RECONQUÊTE !,@RECONQUETE,NA,NA,NA,NA,NA,NA,NA,NA
France,10,NA,NA,NA,Regions and Peoples with Solidarity,Régions et Peuples Solidaires,1995,NA,https://en.wikipedia.org/wiki/R%C3%A9gions_et_Peuples_Solidaires,https://www.federation-rps.org/,https://www.federation-rps.org/elections/europ%C3%A9ennes-2024/,NA,NA,Greens-EFA,@RetPS,RegionsetPeuplesSolidaires,NA,NA,NA,@regionsetpeuplessolidaires8935,NA,NA,NA,NA,NA,NA,NA,NA
France,10,2024,NA,NA,Renaissance (formerly En Marche),Renaissance (formerly En Marche),2016,NA,https://en.wikipedia.org/wiki/Renaissance_(French_political_party),https://parti-renaissance.fr/,https://parti-renaissance.fr/bilan-europeennes,NA,https://www.reneweuropegroup.eu/parties/renaissance,Renew,@Renaissance,RENAISSANCE,renaissance,@parti_renaissance,Renaissance,@parti-renaissance,NA,NA,NA,NA,NA,NA,NA,NA
France,10,2024,NA,NA,Together,Ensemble !,2013,NA,https://en.wikipedia.org/wiki/Together_(coalition),https://ensemblecitoyens.fr/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,11,2024,1976,AfD,Alternative for Germany,Alternative fur Deutschland,2013,NA,https://en.wikipedia.org/wiki/Alternative_for_Germany,https://www.afd.de,https://www.afd.de/europa-neu-denken/,https://de.idgroup.eu/alternative_fur_deutschland,https://www.idgroup.eu/alternative_fur_deutschland,non-attached,@AfD,alternativefuerde,afd.bund,@afd_tv,AfD TV,@AfDTV,@AfDimEUParl,AfDimEUParlament,afdimeuparlament,@afd.eu,AfD im EU-Parlament,@AfDimEUParlament,@AfDimEUParlament,UCmzLzI-ROdjxWtBOuJTelug
Germany,11,NA,NA,BIG,Alliance for Innovation and Justice,Bündnis für Innovation & Gerechtigkeit,2010,NA,https://en.wikipedia.org/wiki/Alliance_for_Innovation_and_Justice,https://bigpartei.de,NA,NA,NA,NA,@BIG_Partei_DE,BIGParteiDeutschland,bigpartei,@bigparteitv,BIG Partei Deutschland,@bigparteitv1516,NA,NA,NA,NA,NA,NA,NA,NA
Germany,11,2024,NA,BSW,Sahra Wagenknecht Alliance,Bündnis Sahra Wagenknecht,2024,NA,https://en.wikipedia.org/wiki/B%C3%BCndnis_Sahra_Wagenknecht,https://bsw-vg.de,https://bsw-vg.de/programm/europawahlprogramm-2024/,https://bsw-vg.eu/,NA,NA,@Buendnis_SahraW,BuendnisSahraWagenknecht,buendnis_sahrawagenknecht,@buendnis_sahraw,Bündnis Sahra Wagenknecht,@BuendnisSahraWagenknecht,NA,NA,NA,NA,NA,NA,NA,NA
Germany,11,NA,NA,Bündnis C,Alliance C – Christians for Germany,Bündnis C – Christen für Deutschland,2015,NA,https://en.wikipedia.org/wiki/Alliance_C_%E2%80%93_Christians_for_Germany,https://buendnis-c.de,https://buendnis-c.de/aktuelles/europawahl2024/,NA,NA,NA,@buendnisc,buendnisC.de,buendnisc,NA,NA,@BuendnisC,NA,NA,NA,NA,NA,NA,NA,NA
Germany,11,2024,211,CDU,Christian Democratic Union of Germany / Christian Social Union in Bavaria,Christlich Demokratische Union/Christlich-Soziale Union in Bayern,1950,NA,https://en.wikipedia.org/wiki/Christian_Democratic_Union_of_Germany,https://www.cdu.de/,https://www.europawahl.cdu.de/,https://www.cducsu.eu/,NA,EPP,@CDU,CDU,cdu,@insidecdu,CDU Deutschlands,@cdutv,@CDU_CSU_EP,CDUCSUEuropa,cducsueuropa,NA,NA,@cducsu-gruppeimeuropaische9845,@cducsu-gruppeimeuropaische9845,UC77-8o4kSD_Q_fCcXVrsPrw
Germany,11,2024,211,CSU,Christian Social Union in Bavaria,Christlich-Soziale Union in Bayern,1945,NA,https://en.wikipedia.org/wiki/Christian_Social_Union_in_Bavaria,https://www.csu.de,https://www.csu.de/europawahl-2024/,https://www.csu-europagruppe.de sowie https://www.cducsu.eu/,NA,EPP,@CSU,CSU,csu,@csuauftiktok,CSU,@csumedia,@CDU_CSU_EP,CDUCSUEuropa,cducsueuropa,NA,NA,@cducsu-gruppeimeuropaische9845,@cducsu-gruppeimeuropaische9845,UC77-8o4kSD_Q_fCcXVrsPrw
Germany,11,NA,NA,DIE FRAUEN,Feminist Party The Women,Feministische Partei Die Frauen,1995,NA,https://en.wikipedia.org/wiki/Feminist_Party_of_Germany,https://www.feministischepartei.de,https://www.feministischepartei.de/bringt-uns-nach-europa/,NA,NA,NA,@FeministischeP,feministischeparteidiefrauen,partei_die_frauen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,11,2024,86,DIE LINKE,The Left,DIE LINKE,2007,NA,https://en.wikipedia.org/wiki/The_Left_(Germany),https://www.die-linke.de,https://www.die-linke.de/europawahl/,https://www.dielinke-europa.eu,https://left.eu/groups/die-linke/,GUE-NGL,@dieLinke,linkspartei,dielinke,@die.linke,Die Linke,@DIELINKE,@dieLinkeEP,dielinkeEP,NA,NA,NA,@EuropaLINKE,@EuropaLINKE,UC1bBedepq_smxtfbxkt5ADA
Germany,11,NA,NA,DKP,German Communist Party,Deutsche Kommunistische Partei,1968,NA,https://en.wikipedia.org/wiki/German_Communist_Party,https://dkp.de,https://www.unsere-zeit.de/eu-wahl/#liste-eu-wahl-2024,NA,NA,NA,@partei_dkp,dkppv,kommunistischepartei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,11,2024,NA,FAMILIE,Family Party of Germany,Familien-Partei Deutschlands,1981,NA,https://en.wikipedia.org/wiki/Family_Party_of_Germany,https://www.wählefamilie.de,https://www.wählefamilie.de/europawahl2024,NA,NA,EPP,NA,FamilienParteiDeutschlands,familienpartei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,11,2024,573,FDP,Free Democratic Party,Freie Demokratische Partei,1948,NA,https://en.wikipedia.org/wiki/Free_Democratic_Party_(Germany),https://www.fdp.de,https://www.fdp.de/seite/unsere-top-10-zur-europawahl-2024,https://fdp-in-europa.de,https://www.reneweuropegroup.eu/parties/freie-demokratische-partei,Renew,@fdp,FDP,fdp,@fdp_liberalepolitik,Freie Demokratische Partei,@FDP,NA,NA,NA,NA,NA,NA,NA,NA
Germany,11,2024,NA,FW,Free Voters,Freie Wähler,2009,NA,https://en.wikipedia.org/wiki/Free_Voters,https://www.freiewaehler.eu,https://www.freiewaehler.eu/unsere-politik/europawahl/,NA,https://www.reneweuropegroup.eu/parties/freie-w%C3%A4hler,Renew,@FREIEWAEHLER_BV,freie.waehler.bundesvereinigung,freiewaehler_bv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,11,2024,1816,Gruene,Alliance 90 / The Greens,Bundnis 90 / Die Grunen,1993,NA,https://en.wikipedia.org/wiki/Alliance_90/The_Greens,https://www.gruene.de,https://www.gruene.de/artikel/unser-gr%C3%BCnes-wahlprogramm-zur-europawahl-2024,https://gruene-europa.de/de/,NA,Greens-EFA,@Die_Gruenen,B90DieGruenen,die_gruenen,@diegruenen,Bündnis 90/Die Grünen,@DieGruenen,@Gruene_Europa,europagruene,grueneeuropa,NA,NA,NA,NA,NA
Germany,11,NA,1723,HEIMAT,The Homeland (formerly NPD),Die Heimat (formerly NPD),1964,NA,https://en.wikipedia.org/wiki/National_Democratic_Party_of_Germany,https://die-heimat.de,https://die-heimat.de/eu-wahl-2024/,NA,NA,NA,@heimat_de,dieheimatdeutschland,dieheimatdeutschland,NA,NA,@dieheimat,NA,NA,NA,NA,NA,NA,NA,NA
Germany,11,NA,NA,MLPD,Marxist–Leninist Party of Germany,Marxistisch-Leninistische Partei Deutschlands,1982,NA,https://en.wikipedia.org/wiki/Marxist%E2%80%93Leninist_Party_of_Germany,https://www.mlpd.de,https://www.mlpd.de/broschueren/10-punkte-programm-zur-europawahl,NA,NA,NA,@mlpdde,mlpd.de,mlpd.de,NA,NA,@mlpd,NA,NA,NA,NA,NA,NA,NA,NA
Germany,11,2019,1723,NPD,National Democratic Party,Nationaldemokratische Partei Deutschlands,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,11,2024,NA,ODP,Ecological Democratic Party,Ökologisch-Demokratische Partei,1982,NA,https://en.wikipedia.org/wiki/Ecological_Democratic_Party,https://www.oedp.de,https://www.oedp.de/europawahl-2024,NA,NA,Greens-EFA,@oedp_de,oedp.de,oedp.de,NA,NA,@ODPde,NA,NA,NA,NA,NA,NA,NA,NA
Germany,11,2024,NA,PARTEI,THE PARTY,Die PARTEI,2004,NA,https://en.wikipedia.org/wiki/Die_PARTEI,https://www.die-partei.de,https://www.die-partei.de/europawahl-2024/,NA,NA,non-attached,@DiePARTEI,DiePARTEI,diepartei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,11,NA,NA,PdH,Party of Humanists,Partei der Humanisten,2014,NA,https://en.wikipedia.org/wiki/Party_of_Humanists,https://www.pdh.eu,https://www.pdh.eu/wahlprogramm-europawahl-2024/,NA,NA,NA,@pdh_eu,parteiderhumanisten,parteiderhumanisten,NA,NA,@Parteiderhumanisten,NA,NA,NA,NA,NA,NA,NA,NA
Germany,11,2024,1287,PIRATEN,Pirate Party Germany,Piratenpartei Deutschland,2006,NA,https://en.wikipedia.org/wiki/Pirate_Party_Germany,https://www.piratenpartei.de,https://europa2024.piratenpartei.de/wahlprogramm/,https://european-pirateparty.eu/,NA,Greens-EFA,@Piratenpartei,Piratenpartei,piratenpartei,@piratenpartei,Piratenpartei,@piratenpartei,NA,NA,NA,NA,NA,NA,NA,NA
Germany,11,NA,NA,SGP,Socialist Equality Party,"Sozialistische Gleichheitspartei, Vierte Internationale",1971,NA,https://en.wikipedia.org/wiki/Socialist_Equality_Party_(Germany),https://www.gleichheit.de,NA,NA,NA,NA,NA,Gleichheit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,11,2024,383,SPD,Social Democratic Party of Germany,Sozialdemokratische Partei Deutschlands,1890,NA,https://en.wikipedia.org/wiki/Social_Democratic_Party_of_Germany,https://www.spd.de,https://www.spd.de/programm/europaprogramm,https://www.spd-europa.de,https://www.socialistsanddemocrats.eu/who-we-are/our-political-family/our-national-parties,S&D,@spdde,SPD,spdde,@deinespd,SPD,@spdde,@SPDEuropa,SPDEuropa,spdeuropa,NA,NA,NA,NA,NA
Germany,11,2024,NA,Tierschutzpartei,Human Environment Animal Protection,Partei Mensch Umwelt Tierschutz,1993,NA,https://en.wikipedia.org/wiki/Human_Environment_Animal_Protection,https://www.tierschutzpartei.de,https://www.tierschutzpartei.de/partei/wahl/europawahl-2024/,NA,NA,NA,@Tierschutzparte,Tierschutzpartei,parteimenschumwelttierschutz,@tierschutzpartei.de,tierschutzpartei.de,@DieTierschutzpartei,NA,NA,NA,NA,NA,NA,NA,NA
Germany,11,2024,NA,Volt,Volt Germany,Volt Deutschland,2018,NA,https://en.wikipedia.org/wiki/Volt_Germany,https://voltdeutschland.org,NA,https://volteuropa.org,NA,Greens-EFA,@VoltDeutschland,VoltDeutschland,voltdeutschland,@voltdeutschland,Volt Deutschland,@VoltDeutschland,@VoltEuropa,VoltEuropa,volteuropa,NA,NA,@VoltEuropa,@VoltEuropa,UCj2Y3zJRCP-xYNaMwwAdSmA
Germany,11,NA,NA,NA,Alliance Germany,Bündnis Deutschland,2022,NA,https://en.wikipedia.org/wiki/B%C3%BCndnis_Deutschland,https://buendnis-deutschland.de,https://buendnis-deutschland.de/europawahl-2024/,NA,https://ecrgroup.eu/ecr/party/Alliance_Germany,ECR,@buendnisde,buendnisde,buendnisde,@buendnisde,Bündnis Deutschland,@buendnisde,NA,NA,NA,NA,NA,NA,NA,NA
Germany,11,NA,NA,NA,"Alliance for Human Rights, Animal and Nature Protection,","Allianz für Menschenrechte, Tier- und Naturschutz (Tierschutzallianz)",2013,NA,"https://en.wikipedia.org/wiki/Alliance_for_Human_Rights,_Animal_and_Nature_Protection",https://www.tierschutzallianz.de,NA,NA,NA,NA,@Allianz_MTN,Tierschutzallianz,tierschutzallianz,NA,NA,@tierschutzallianz-allianzm3606,NA,NA,NA,NA,NA,NA,NA,NA
Germany,11,NA,NA,NA,We Citizens (formerly LKR),Wir Bürger (formerly LKR),2015,NA,https://en.wikipedia.org/wiki/Wir_B%C3%BCrger,https://wirbuerger.de,https://wirbuerger.de/unser-eu-programm-2/,NA,NA,NA,NA,WirBuergerDE,wirbuerger.liberal.konservativ,NA,NA,@LiberalKonservativeReformer,NA,NA,NA,NA,NA,NA,NA,NA
Germany,11,NA,NA,NA,Party for Biomedical Rejuvenation Research,Partei für schulmedizinische Verjüngungsforschung,2015,NA,https://en.wikipedia.org/wiki/Party_for_Biomedical_Rejuvenation_Research,https://verjuengungsforschung.de,https://verjuengungsforschung.de/europawahl-2024,NA,NA,NA,@mehrForschung,NA,NA,NA,NA,@verjuengungsforschung,NA,NA,NA,NA,NA,NA,NA,NA
Germany,11,NA,NA,NA,Gray Panthers,Graue Panther,2013,NA,https://en.wikipedia.org/wiki/The_Grays_%E2%80%93_Gray_Panthers,https://www.graue-panther.eu/Bund/,https://www.grauepanther.info/EUROPAWAHL-2024/,NA,NA,NA,NA,NA,NA,NA,NA,@grauepanther,NA,NA,NA,NA,NA,NA,NA,NA
Germany,11,NA,NA,NA,From now on...democracy through referendum,Ab jetzt…Demokratie durch Volksabstimmung,1997,NA,https://de.wikipedia.org/wiki/Ab_jetzt…Demokratie_durch_Volksabstimmung,https://blog.demokratie-durch-volksabstimmung.de,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,12,NA,NA,EK,Union of Centrists,Enosi Kentroon,1992,NA,https://en.wikipedia.org/wiki/Union_of_Centrists,https://enosi-kentroon.gr/,NA,NA,NA,NA,@antidiaploki,enosikentroon.vasilisleventis,NA,NA,NA,@antidiaploki,NA,NA,NA,NA,NA,NA,NA,NA
Greece,12,2024,7347,EL,Greek Solution,Elliniki Lisi,2016,NA,https://en.wikipedia.org/wiki/Greek_Solution,https://elliniki-lisi.gr/,https://elliniki-lisi.gr/category/evrovouli,NA,https://ecrgroup.eu/ecr/party/greek_solution,ECR,NA,ellinikilisi,NA,NA,NA,@elliniki-lisi,NA,NA,NA,NA,NA,NA,NA,NA
Greece,12,2019,NA,KINAL,Movement for Change,KINAL,2018,NA,https://en.wikipedia.org/wiki/PASOK_%E2%80%93_Movement_for_Change,https://kinimaallagis.gr/,NA,NA,https://www.socialistsanddemocrats.eu/who-we-are/our-political-family/our-national-parties,S&D,@pasok,pasok.gr,pasok_kinal,NA,NA,@pasok_kinal,NA,NA,NA,NA,NA,NA,NA,NA
Greece,12,2024,48,KKE,Communist Party of Greece,Kommounistiko Komma Elladas,1918,NA,https://en.wikipedia.org/wiki/Communist_Party_of_Greece,https://www.kke.gr/,https://www.kke.gr/enotites/eyroboyli/,NA,NA,non-attached,@gt_kke,NA,NA,NA,NA,@kkemedia,NA,NA,NA,NA,NA,NA,NA,NA
Greece,12,NA,NA,LE,Popular Unity,Laïkí Enótita - Anipótakti Aristera,2015,NA,https://en.wikipedia.org/wiki/Popular_Unity_(Greece),https://www.laiki-enotita.gr/,NA,NA,NA,NA,@LAE_epikoinonia,LaikiEnotitaOfficial,NA,NA,NA,@LaikiEnotitaOfficial,NA,NA,NA,NA,NA,NA,NA,NA
Greece,12,2024,7348,MERA25,European Realistic Disobedience Front,MERA25,2018,NA,https://en.wikipedia.org/wiki/MeRA25,https://mera25.gr/,https://mera25.gr/category/latest_news/evroekloges-2024-el/,NA,NA,NA,@mera25_gr,mera25.gr,mera25_official,@mera25greece,ΜέΡΑ25,@MeRA25_,NA,NA,NA,NA,NA,NA,NA,NA
Greece,12,2024,794,ND,New Democracy,Nea Demokratia,1974,NA,https://en.wikipedia.org/wiki/New_Democracy_(Greece),https://nd.gr/,https://nd.gr/eurovouleutes,NA,NA,EPP,@neademokratia,neadhmokratia,neademokratia,@neademokratia,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,@neademokratia,NA,NA,NA,NA,NA,NA,NA,NA
Greece,12,2024,NA,NE.A.,New Left,Néa Aristerá,2024,NA,https://en.wikipedia.org/wiki/New_Left_(Greece),https://neaaristera.gr/,https://neaaristera.gr/ypopsifioi-evrovouleftes-me-tin-nea-aristera/,NA,https://left.eu/groups/new-left/,GUE-NGL,@NewLeftGR,NeaAristeraofficial,neaaristera,@neaaristera,NeaAristera,@officialNeaAristera,NA,NA,NA,NA,NA,NA,NA,NA
Greece,12,2024,NA,NIKI,Victory,Dimokratikó Patriotikó Kínima “Níki”,2019,NA,https://en.wikipedia.org/wiki/Victory_(Greek_political_party),https://nikh.gr/,https://nikh.gr/euroekloges2024,NA,NA,NA,@NIKHGREECE,NIKHGREECE,NIKHGREECE,NA,NA,@NIKH-Greece,NA,NA,NA,NA,NA,NA,NA,NA
Greece,12,NA,378,OP,Ecologist Greens,Oikologoi Prasinoi,2002,NA,https://en.wikipedia.org/wiki/Ecologist_Greens,https://ecogreens.gr/,https://ecogreens.gr/category/epikairotita/european-greens,NA,NA,NA,@Ecogreens,Oikologoi.Prasinoi,oikologoi_prasinoi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,12,2024,1468,PASOK,Panhellenic Socialist Movement,Panellínio Sosialistikó Kínima,1974,NA,https://en.wikipedia.org/wiki/PASOK,https://pasok.gr/,https://pasok.gr/euroekloges-ipopsiphioi/,NA,NA,NA,@pasok,pasok.gr,pasok_kinal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,12,2024,301,SYRIZA,Coalition of the Radical Left,Syriza,2004,NA,https://en.wikipedia.org/wiki/Syriza,https://www.syriza.gr/,https://www.syriza.gr/page/eurovoulh.html,NA,https://left.eu/groups/syriza/,GUE-NGL,@syriza_gr,syrizaofficial,syrizaps,NA,NA,@officialsyriza,@SYRIZAEP,syrizaep,NA,NA,NA,@syrizaeuropeanparliament7084,@syrizaeuropeanparliament7084,UCx8UPCwjLXbnMAzK845mckw
Greece,12,2024,NA,NA,Course of Freedom,Plefsi Eleftherias,2016,NA,https://en.wikipedia.org/wiki/Course_of_Freedom,https://www.plefsieleftherias.gr/,https://www.plefsieleftherias.gr/%cf%85%cf%80%ce%bf%cf%88%ce%ae%cf%86%ce%b9%ce%bf%ce%b9-%ce%b5%cf%85%cf%81%cf%89%ce%b2%ce%bf%cf%85%ce%bb%ce%b5%cf%85%cf%84%ce%ad%cf%82-2024/,NA,NA,NA,@pl_eleftherias,plefsieleftherias,plefsieleftherias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,12,2024,NA,NA,Spartans,Spartiátes,2017,NA,https://en.wikipedia.org/wiki/Spartans_(Greek_political_party),https://spartiates.gr/,NA,NA,NA,NA,@Spartiateskomma,spartiates.official,spartiatesofficial,@vasilisstigkas,Βασίλης Στίγκας,@officialspartiates,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,13,2024,NA,2RK,Second Reform Era Party,Második Reformkor Párt,2023,NA,https://en.wikipedia.org/wiki/Second_Reform_Era_Party,https://www.2rk.hu/,https://www.2rk.hu/?_gl=1*ujjjey*_gcl_au*MTgzNzQ4NTEyNi4xNzE3NTE2MTIy*_ga*MTc0MzE0MjI5My4xNzE3NTE2MTIy*_ga_V930JCVQ05*MTcxNzUxNjEyMi4xLjEuMTcxNzUxNjEyMi42MC4wLjA.#program,NA,NA,NA,NA,masodikreformkor,masodikreformkor,@_2rk_,Második Reformkor,@Masodik.Reformkor,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,13,2024,NA,DKP,Democratic Coalition,Demokratikus Koalíció,2011,NA,https://en.wikipedia.org/wiki/Democratic_Coalition_(Hungary),https://dkp.hu/,NA,https://europaimagyarok.eu/,https://www.socialistsanddemocrats.eu/who-we-are/our-political-family/our-national-parties,S&D,NA,dk365,NA,NA,NA,@DKPHUvideo,NA,NA,NA,NA,NA,NA,NA,NA
