COUNTRY,COUNTRY_CODE,YEAR,Partyfacs_ID,ABBREVIATION,PARTY_NAME_ENGLISH,PARTY_NAME,FOUNDED,PERSON,WIKIPEDIA,WEBSITE_NATIONAL,WEBSITE_NATIONAL_SUBPAGE_EU,WEBSITE_EU,WEBSITE_EUGROUP_SUBPAGE,EU_GROUP,TWITTER_NATIONAL,FB_NATIONAL,INSTA_NATIONAL,TIKTOK_NATIONAL,TIKTOK_NAT_DISPLAY_NAME,YT_NATIONAL,TWITTER_EU,FB_EU,INSTA_EU,TIKTOK_EU,TIKTOK_EU_DISPLAY_NAME,YT_EU,YT_EU_BIO_HANDLE,YT_EU_ID
Bulgaria,3,2019,1793,Ataka,Attack,Attack,2005,NA,https://en.wikipedia.org/wiki/Attack_(political_party),http://www.ataka.bg/,NA,NA,NA,NA,Ataka_party,ataka.pobeda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,3,2024,757,BSP,Bulgarian Socialist Party,Bulgarska sotsialisticheska partiya,1990,NA,https://en.wikipedia.org/wiki/Bulgarian_Socialist_Party,https://bsp.bg,https://bsp.bg/about/deputati_v_ep.html,NA,https://www.socialistsanddemocrats.eu/who-we-are/our-political-family/our-national-parties,S&D,@BSP_Bulgaria,BulgarianSocialistParty,NA,NA,NA,@BSP_officialPage,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,3,2024,NA,BV,Bulgaria Rise,Balgarski vazhod,2022,NA,https://en.wikipedia.org/wiki/Bulgarian_Rise,https://bgvazhod.com/,https://bgvazhod.com/bg/kandidatskata-lista-za-chlenove-na-evropeyskiya-parlament-ot-republika-blgariya-v-izborite-na-9-yuni-2024-g.html,NA,NA,NA,@bgvazhod,bgvazhod,bgvazhod,@bgvzhod24mir,БГ Възход 24МИР,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,3,2024,NA,DA,"Yes, Bulgaria!",Da Bulgaria,2017,NA,"https://en.wikipedia.org/wiki/Yes,_Bulgaria!",https://dabulgaria.bg,https://demokrati.bg/evroizbori-2024/kandidati/,NA,NA,EPP,@BulgariaDA,dabulgaria.bg,dabulgaria.bg,NA,NA,@dabulgaria,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,3,2024,9083,DB,Democratic Bulgaria,Demokratichna Balgariya,2018,NA,https://en.wikipedia.org/wiki/Democratic_Bulgaria,https://demokrati.bg/,https://demokrati.bg/evroizbori-2024/kandidati/,NA,NA,NA,@DemokratiBG,demokrati.bg,demokrati.bg,@demokrati.bg,Демократична България,@user-ub5vs2cv2s,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,3,2024,982,DPS,Movement for Rights and Freedoms,Dvizhenie za prava i svobodi,1990,NA,https://en.wikipedia.org/wiki/Movement_for_Rights_and_Freedoms,https://www.dps.bg,https://www.dps.bg/izbori-2024/kandidati-za-ep.html,NA,https://www.reneweuropegroup.eu/parties/movement-for-rights-and-freedoms,Renew,@dps_news,presscenterdps,NA,NA,NA,@MrPresscenterdps,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,3,2024,1195,DSB,Democrats for a Strong Bulgaria,Demokrati za Silna Balgariya,2004,NA,https://en.wikipedia.org/wiki/Democrats_for_a_Strong_Bulgaria,https://dsb.bg,NA,NA,NA,EPP,NA,dsb.bg,NA,NA,NA,@democratsbulgaria,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,3,2024,760,GERB,Citizens for European Development of Bulgaria,Grazhdani za Evropeysko Razvitie na Balgariya,2006,NA,https://en.wikipedia.org/wiki/GERB,http://www.gerb.bg/,https://www.gerb.bg/bg/team/evrodeputati_na_pp_gerb/list-0-16.html,NA,NA,EPP,NA,PPGERB,partia_gerb,NA,NA,@gerb-official,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,3,2024,NA,ITN,There Is Such a People,Ima takav narod,2020,NA,https://en.wikipedia.org/wiki/There_is_Such_a_People,https://pp-itn.bg/,https://pp-itn.bg/european-elections-2024/,NA,NA,NA,NA,ppimatakuvnarod,imatakavnarod,@imatakavnarod.official,Има Такъв Народ,@user-lq2ze5mf1o,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,3,2024,NA,PP,We continue the change,Prodalzhavame promyanata,2021,NA,https://en.wikipedia.org/wiki/We_Continue_the_Change,https://promeni.bg/,NA,NA,NA,NA,@promenibg,prodalzhavamepromyanata,prodalzhavamepromyanata,@promenibg,Продължаваме Промяната,@promenibg,NA,NA,NA,NA,NA,NA,NA,NA
